Bodies,Method,Dimension,Average Runtime (s)
1000,BVH_OpenMP,2,0.0042455
1000,BVH_OpenMP,3,0.006479666666666666
1000,BVH_Parlay,2,0.0052075
1000,BVH_Parlay,3,0.005033333333333333
1000,BVH_Sequential,2,0.010395000000000001
1000,BVH_Sequential,3,0.017877666666666667
1000,BarnesHut_OpenMP,2,0.0037619999999999997
1000,BarnesHut_OpenMP,3,0.0072440000000000004
1000,BarnesHut_Parlay,2,0.0023095
1000,BarnesHut_Parlay,3,0.003664
1000,BarnesHut_Sequential,2,0.0061945
1000,BarnesHut_Sequential,3,0.014795333333333334
1000,BruteForce_OpenMP1,2,0.0131895
1000,BruteForce_OpenMP1,3,0.023864000000000007
1000,BruteForce_OpenMP2,2,0.016723
1000,BruteForce_OpenMP2,3,0.024795666666666664
1000,BruteForce_Parlay1,2,0.004566
1000,BruteForce_Parlay1,3,0.007515666666666667
1000,BruteForce_Parlay2,2,0.0026105
1000,BruteForce_Parlay2,3,0.005588
1000,BruteForce_Sequential,2,0.003572
1000,BruteForce_Sequential,3,0.006797
1000,FMM_OpenMP,3,0.08736833333333334
1000,FMM_Parlay,3,0.009076333333333334
1000,FMM_Sequential,2,0.0056215
1000,FMM_Sequential,3,0.005234
2000,BVH_OpenMP,3,0.009639
2000,BVH_Parlay,3,0.0152025
2000,BVH_Sequential,3,0.06487
2000,BarnesHut_OpenMP,3,0.009231
2000,BarnesHut_Parlay,3,0.010189
2000,BarnesHut_Sequential,3,0.0597675
2000,BruteForce_OpenMP1,3,0.037184
2000,BruteForce_OpenMP2,3,0.035864
2000,BruteForce_Parlay1,3,0.015958
2000,BruteForce_Parlay2,3,0.015054
2000,BruteForce_Sequential,3,0.030208
2000,FMM_OpenMP,3,0.09542999999999999
2000,FMM_Parlay,3,0.0833155
2000,FMM_Sequential,3,0.0223145
5000,BVH_OpenMP,3,0.047998
5000,BVH_Parlay,3,0.043154
5000,BVH_Sequential,3,0.467207
5000,BarnesHut_OpenMP,3,0.013914
5000,BarnesHut_Parlay,3,0.029345
5000,BarnesHut_Sequential,3,0.299117
5000,BruteForce_OpenMP1,3,0.045813
5000,BruteForce_OpenMP2,3,0.044554
5000,BruteForce_Parlay1,3,0.039557
5000,BruteForce_Parlay2,3,0.04185
5000,BruteForce_Sequential,3,0.168477
5000,FMM_OpenMP,3,0.110689
5000,FMM_Parlay,3,0.253573
5000,FMM_Sequential,3,0.136022
10000,BVH_OpenMP,2,0.021885333333333333
10000,BVH_OpenMP,3,0.0838855
10000,BVH_Parlay,2,0.017198
10000,BVH_Parlay,3,0.065794
10000,BVH_Sequential,2,0.122766
10000,BVH_Sequential,3,0.75194575
10000,BarnesHut_OpenMP,2,0.013261888888888887
10000,BarnesHut_OpenMP,3,0.045872750000000004
10000,BarnesHut_Parlay,2,0.012881444444444445
10000,BarnesHut_Parlay,3,0.03964975
10000,BarnesHut_Sequential,2,0.09161577777777778
10000,BarnesHut_Sequential,3,0.6944644999999999
10000,BruteForce_OpenMP1,2,0.047460777777777775
10000,BruteForce_OpenMP1,3,0.077708
10000,BruteForce_OpenMP2,2,0.06940022222222222
10000,BruteForce_OpenMP2,3,0.1061905
10000,BruteForce_Parlay1,2,0.041960111111111115
10000,BruteForce_Parlay1,3,0.07235024999999999
10000,BruteForce_Parlay2,2,0.06117133333333333
10000,BruteForce_Parlay2,3,0.09066975
10000,BruteForce_Sequential,2,0.18735655555555555
10000,BruteForce_Sequential,3,0.257739
10000,FMM_OpenMP,3,0.122497
10000,FMM_Parlay,3,0.7580543333333334
10000,FMM_Sequential,2,0.05555088888888889
10000,FMM_Sequential,3,0.08266325000000001
20000,BVH_OpenMP,3,0.239412
20000,BVH_Parlay,3,0.183146
20000,BVH_Sequential,3,3.2467215
20000,BarnesHut_OpenMP,3,0.16178599999999999
20000,BarnesHut_Parlay,3,0.141452
20000,BarnesHut_Sequential,3,6.2585415
20000,BruteForce_OpenMP1,3,0.320958
20000,BruteForce_OpenMP2,3,0.474345
20000,BruteForce_Parlay1,3,0.3410635
20000,BruteForce_Parlay2,3,0.493477
20000,BruteForce_Sequential,3,1.701482
20000,FMM_OpenMP,3,0.161249
20000,FMM_Parlay,3,0.658071
20000,FMM_Sequential,3,0.28551
50000,BVH_OpenMP,3,0.7545075
50000,BVH_Parlay,3,0.6352335
50000,BVH_Sequential,3,61.883655
50000,BarnesHut_OpenMP,3,0.516773
50000,BarnesHut_Parlay,3,0.36131
50000,BarnesHut_Sequential,3,21.786856
50000,BruteForce_OpenMP1,3,1.336533
50000,BruteForce_OpenMP2,3,1.8350274999999998
50000,BruteForce_Parlay1,3,1.3989215000000002
50000,BruteForce_Parlay2,3,2.392732
50000,BruteForce_Sequential,3,9.2442365
50000,FMM_OpenMP,3,0.22521750000000001
50000,FMM_Parlay,3,2.8467445000000002
50000,FMM_Sequential,3,0.5781014999999999
100000,BVH_OpenMP,2,0.29359250000000003
100000,BVH_OpenMP,3,1.852527
100000,BVH_Parlay,2,0.2561295
100000,BVH_Parlay,3,1.65918275
100000,BVH_Sequential,2,2.8050050000000004
100000,BVH_Sequential,3,44.810622249999994
100000,BarnesHut_OpenMP,2,0.12964900000000001
100000,BarnesHut_OpenMP,3,0.7909762499999999
100000,BarnesHut_Parlay,2,0.116367
100000,BarnesHut_Parlay,3,0.7289085
100000,BarnesHut_Sequential,2,1.1872525
100000,BarnesHut_Sequential,3,12.67343275
100000,BruteForce_OpenMP1,2,2.2083535000000003
100000,BruteForce_OpenMP1,3,4.016332
100000,BruteForce_OpenMP2,2,3.474869
100000,BruteForce_OpenMP2,3,5.880315
100000,BruteForce_Parlay1,2,2.9111605000000003
100000,BruteForce_Parlay1,3,4.39944675
100000,BruteForce_Parlay2,2,5.6105585
100000,BruteForce_Parlay2,3,7.47026625
100000,BruteForce_Sequential,2,15.140047
100000,BruteForce_Sequential,3,26.805507
100000,FMM_OpenMP,3,0.4092815
100000,FMM_Parlay,3,17.025214000000002
100000,FMM_Sequential,2,0.5550474999999999
100000,FMM_Sequential,3,1.8510225
200000,BVH_OpenMP,2,0.543641
200000,BVH_OpenMP,3,2.6174605
200000,BVH_Parlay,2,0.50408
200000,BVH_Parlay,3,2.516457
200000,BVH_Sequential,2,5.35914
200000,BVH_Sequential,3,30.501409499999998
200000,BarnesHut_OpenMP,2,0.305251
200000,BarnesHut_OpenMP,3,1.5612735
200000,BarnesHut_Parlay,2,0.2630305
200000,BarnesHut_Parlay,3,1.375928
200000,BarnesHut_Sequential,2,3.187412
200000,BarnesHut_Sequential,3,22.4229655
200000,BruteForce_OpenMP1,2,8.732754
200000,BruteForce_OpenMP1,3,15.321676499999999
200000,BruteForce_OpenMP2,2,13.559664
200000,BruteForce_OpenMP2,3,22.0884605
200000,BruteForce_Parlay1,2,11.9908605
200000,BruteForce_Parlay1,3,18.205923499999997
200000,BruteForce_Parlay2,2,21.3225145
200000,BruteForce_Parlay2,3,28.778335499999997
200000,BruteForce_Sequential,2,61.5796335
200000,BruteForce_Sequential,3,85.120362
200000,FMM_OpenMP,3,1.012081
200000,FMM_Parlay,3,50.6600615
200000,FMM_Sequential,2,1.171539
200000,FMM_Sequential,3,2.6641775
500000,BVH_OpenMP,2,2.503852
500000,BVH_OpenMP,3,17.304681000000002
500000,BVH_Parlay,2,2.2538745000000002
500000,BVH_Parlay,3,15.7495475
500000,BVH_Sequential,2,27.339160999999997
500000,BVH_Sequential,3,231.369438
500000,BarnesHut_OpenMP,2,1.108473
500000,BarnesHut_OpenMP,3,13.745878
500000,BarnesHut_Parlay,2,0.9743355
500000,BarnesHut_Parlay,3,10.390427
500000,BarnesHut_Sequential,2,11.806591000000001
500000,BarnesHut_Sequential,3,162.37152650000002
500000,BruteForce_OpenMP1,2,81.2392035
500000,BruteForce_OpenMP1,3,137.489024
500000,BruteForce_OpenMP2,2,83.755477
500000,BruteForce_OpenMP2,3,105.419399
500000,BruteForce_Parlay1,2,86.4077
500000,BruteForce_Parlay1,3,137.04479600000002
500000,BruteForce_Parlay2,2,131.8226195
500000,BruteForce_Parlay2,3,142.603918
500000,BruteForce_Sequential,2,380.517914
500000,BruteForce_Sequential,3,534.5908805
500000,FMM_OpenMP,3,6.4945185
500000,FMM_Parlay,3,427.13135850000003
500000,FMM_Sequential,2,3.1507045
500000,FMM_Sequential,3,10.343826
1000000,BVH_OpenMP,2,10.4582365
1000000,BVH_Parlay,2,9.716352
1000000,BVH_Sequential,2,130.4631645
1000000,BarnesHut_OpenMP,2,8.0410725
1000000,BarnesHut_Parlay,2,8.092109
1000000,BarnesHut_Sequential,2,57.5753735
1000000,BruteForce_OpenMP1,2,402.962145
1000000,BruteForce_OpenMP1,3,654.376561
1000000,BruteForce_OpenMP2,2,375.1939645
1000000,BruteForce_OpenMP2,3,472.69952
1000000,BruteForce_Parlay1,2,398.5227975
1000000,BruteForce_Parlay1,3,642.321922
1000000,BruteForce_Parlay2,2,536.1954315
1000000,BruteForce_Parlay2,3,602.150677
1000000,BruteForce_Sequential,2,1656.2197259999998
1000000,BruteForce_Sequential,3,2864.582558
1000000,FMM_Sequential,2,12.251764999999999
2000000,BVH_OpenMP,2,24.726868
2000000,BVH_OpenMP,3,101.993119
2000000,BVH_Parlay,2,24.344599000000002
2000000,BVH_Parlay,3,100.696498
2000000,BVH_Sequential,2,256.322052
2000000,BVH_Sequential,3,1143.534508
2000000,BarnesHut_OpenMP,2,7.1391975
2000000,BarnesHut_OpenMP,3,33.068262
2000000,BarnesHut_Parlay,2,6.6311655
2000000,BarnesHut_Parlay,3,32.830603
2000000,BarnesHut_Sequential,2,73.375804
2000000,BarnesHut_Sequential,3,1772.997481
2000000,FMM_OpenMP,3,78.902221
2000000,FMM_Sequential,2,22.9663825
2000000,FMM_Sequential,3,83.539287
5000000,BVH_OpenMP,2,66.024479
5000000,BVH_Parlay,2,67.752702
5000000,BVH_Sequential,2,568.846749
5000000,BarnesHut_OpenMP,2,16.152808
5000000,BarnesHut_Parlay,2,16.852747
5000000,BarnesHut_Sequential,2,208.792181
5000000,FMM_Sequential,2,93.204602
1000,BruteForce_CUDA,2,0.000448512
10000,BruteForce_CUDA,2,0.00565258
100000,BruteForce_CUDA,2,0.0993744
200000,BruteForce_CUDA,2,0.361864
500000,BruteForce_CUDA,2,2.19412
1000000,BruteForce_CUDA,2,8.64006
2000000,BruteForce_CUDA,2,34.4182
5000000,BruteForce_CUDA,2,219.31
